いん,institution,院
いん,drink,飲
ゆう,right,右
さ,left,左
うん,carry,運
えい,reflect,映
えん,park,園
えん,far,遠
か,science,科
かい,world,界
かい,floor,階
かん,interval,間
かん,china,漢
かん,building,館
がん,face,顔
き,wake up,起
ぎゅう,cow,牛
ぎん,silver,銀
けい,plan,計
けん,severe,険
けん,testing,験
ご,noon,午
こう,consider,考
こう,fall,降
こん,distressed,困
し,surname,氏
いと,thread,糸
シ,use,使
シ,older sister,姉
シ,paper,紙
ジ,temple,寺
ジ,hear,耳
ジ,hold,持
ジ,time,時
シツ,quality,質
シャク,borrow,借
ジャク,weak,弱
シュ,lord,主
シュ,take,取
シュ,wrist,首
しゅう,week,週
ジュウ,dwell,住
ショ,place,所
ショウ,extinguish,消
ジョウ,ride,乗
ジョウ,usual,常
ジョウ,place,場
ショク,color,色
シン,forest,森
シン,lie down,寝
セイ,life,生
セイ,blue,青
せい,clear up,晴
セキ,stone,石
ソウ,run,走
ソウ,send,送
ソン,village,村
タイ,wait,待
タイ,lend,貸
ダイ,subsitute,代
チャク,arrive,着
チュウ,noon,昼
ツウ,pain,痛
テツ,iron,鉄
テン,revolve,転
ト,metropolis,都
ト,soil,土
トウ,solution,答
ドウ,work,働
ドク,read,読
バイ,sell,売
ハン,meal,飯
ヒ,exhausted,疲
ヒ,expense,費
ブ,section,部
ヘイ,closed,閉
ヘン,return,返
ベン,convenience,便
ベン,exertion,勉
ホ,walk,歩
マイ,younger sister,妹
ホウ,direction,方
マン,ten thousand,万
モン,question,問
ヤク,promise,約
ヤク,medicine,薬
ラク,comfort,楽
ユウ,mail,郵
ヨウ,ocean,洋
リョウ,fee,料
リン,grove,林
アン,darkness,暗
イ,rank,位
イ,idea,意
イ,difference,違
イン,pull,引
エイ,swim,泳
オウ,side,横
オク,hundred million,億
カイ,unravel,解
カイ,shellfish,貝
カク,status,格
カツ,lively,活
カン,perfect,完
カン,cold,寒
ガン,boulder,岩
ガン,petition,願
キ,rejoice,喜
キ,period,期
キ,machanism,機
ギ,deliberation,議
キュウ,ball,球
キョウ,bridge,橋
ギョク,jewel,玉
グ,tool,具
ケイ,lightly,軽
ケツ,tie,結
ケン,case,件
ゲン,limit,限
ゲン,meadow,原
ゲン,present,現
コウ,efficiency,効
コウ,navigate,航
コウ,yellow,黄
コウ,harbor,港
コン,root,根
コン,marriage,婚
ザ,squat,座
サイ,occasion,際
ザイ,exist,在
サン,products,産
シ,finger,指
シ,expert,師
シ,testing,試
シ,assets,資
ジ,show,示
ジ,reign,治
ジャク,young,若
シュ,species,種
シュウ,income,収
ジョウ,emotion,情
ショク,employment,職
シン,reality,真
シン,proceed,進
スウ,number,数
セイ,politics,政
セツ,fold,折
ソウ,mutual,相
ダ,strike,打
タイ,thick,太
タイ,retreat,退
ダン,warmth,暖
チ,pond,池
チ,slow,遅
チ,placement,置
チュウ,pour,注
チョク,straightaway,直
ツイ,chase,追
テイ,bottom,底
テイ,garden,庭
トウ,throw,投
トウ,equal,等
トウ,head,頭
トク,gain,得
ナン,difficult,難
ネツ,heat,熱
ノウ,ability,能
はた,farm,畑
ヒ,he/that/the,彼
ヒ,grieve,悲
ビ,equip,備
ヒツ,certain,必
フ,defeat,負
フ,lady,婦
ヘイ,row,並
ホウ,set free,放
ホウ,call on,訪
ホウ,news report,報
ボウ,ward off,防
マイ,flat item counter,枚
ム,task,務
ヤク,duty,役
ユ,oil,油
ユウ,play,遊
ヨ,deposit,預
ヨウ,need,要
ヨウ,leaf,葉
ラク,fall,落
リョウ,refreshing,涼
ルイ,sort,類
レイ,example,例
レン,take along,連
ロウ,old age,老
ロン,argument,論
アイ,love,愛
イ,garment,衣
イ,stomach,胃
イ,uncommon,異
イ,shift,移
イ,admirable,偉
イン,stamp,印
イン,conceal,隠
エイ,eternity,永
エイ,pointed,鋭
エキ,easy,易
エキ,fluid,液
エツ,surpass,越
エン,prolong,延
エン,inflammation,炎
エン,salt,塩
エン,performance,演
オ,dirty,汚
オウ,apply,応
オウ,push,押
オウ,europe,欧
オク,heart,奥
カ,temporary,仮
カ,river,河
カ,candy,菓
カ,freight,貨
カ,shoes,靴
カイ,jammed in,介
カイ,ashes,灰
カイ,cheerful,快
カイ,all,皆
カイ,contraption,械
カイ,demolition,壊
ガイ,harm,害
カク,broaden,拡
カク,leather,革
カク,memorize,覚
カク,contrast,較
カク,assurance,確
ガク,forehead,額
カツ,proportion,割
かぶ,stocks,株
カン,dry,干
カン,publish,刊
カン,sweat,汗
カン,bureaucrat,官
カン,scroll,巻
カン,watch over,看
カン,drought,乾
カン,interchange,換
カン,accustomed,慣
カン,pipe,管
カン,ring,環
ガン,include,含
ガン,beach,岸
キ,pray,祈
キ,draw near,寄
キ,standard,規
ギ,skill,技
ギ,righteous,義
ギ,doubt,疑
